placename	month	count
Tunis	2023-10	3
Tunis	2023-11	4
Tunis	2023-12	1
Tunis	2024-01	0
Tunis	2024-02	0
Tunis	2024-03	0
Tunis	2024-04	0
Al Mu'askar	2023-10	0
Al Mu'askar	2023-11	0
Al Mu'askar	2023-12	0
Al Mu'askar	2024-01	1
Al Mu'askar	2024-02	0
Al Mu'askar	2024-03	0
Al Mu'askar	2024-04	0
Markaz al Madinah	2023-10	0
Markaz al Madinah	2023-11	0
Markaz al Madinah	2023-12	0
Markaz al Madinah	2024-01	1
Markaz al Madinah	2024-02	0
Markaz al Madinah	2024-03	0
Markaz al Madinah	2024-04	0
Qizan	2023-10	1
Qizan	2023-11	0
Qizan	2023-12	0
Qizan	2024-01	0
Qizan	2024-02	0
Qizan	2024-03	0
Qizan	2024-04	0
Hijazi	2023-10	2
Hijazi	2023-11	2
Hijazi	2023-12	1
Hijazi	2024-01	1
Hijazi	2024-02	0
Hijazi	2024-03	0
Hijazi	2024-04	2
Al-Azhar University	2023-10	2
Al-Azhar University	2023-11	1
Al-Azhar University	2023-12	2
Al-Azhar University	2024-01	1
Al-Azhar University	2024-02	0
Al-Azhar University	2024-03	0
Al-Azhar University	2024-04	0
Al-Aqsa University	2023-10	1
Al-Aqsa University	2023-11	0
Al-Aqsa University	2023-12	0
Al-Aqsa University	2024-01	2
Al-Aqsa University	2024-02	2
Al-Aqsa University	2024-03	0
Al-Aqsa University	2024-04	0
Gaza	2023-10	4168
Gaza	2023-11	4527
Gaza	2023-12	2863
Gaza	2024-01	1956
Gaza	2024-02	1882
Gaza	2024-03	2197
Gaza	2024-04	993
Gaza Strip	2023-10	4168
Gaza Strip	2023-11	4527
Gaza Strip	2023-12	2863
Gaza Strip	2024-01	1956
Gaza Strip	2024-02	1882
Gaza Strip	2024-03	2197
Gaza Strip	2024-04	993
Gaza City	2023-10	4174
Gaza City	2023-11	4529
Gaza City	2023-12	2865
Gaza City	2024-01	1956
Gaza City	2024-02	1882
Gaza City	2024-03	2199
Gaza City	2024-04	993
